name,island,classification,vicinity,types,user_ratings_total,rating,place_id,url,lat,lon
Ki‘Eki‘E Beach,Niihau,Beach,"Ki‘Eki‘E Beach, Hawaii, United States","['natural_feature', 'establishment']",5.0,3.4,ChIJG8fq78LEB3wRAf1ZIVn39Sg,https://www.google.com/maps/place/?q=place_id:ChIJG8fq78LEB3wRAf1ZIVn39Sg,21.8977778,-160.2191667
Keanahaki Beach,Niihau,Beach,"Keanahaki Beach, Hawaii 96769, United States","['natural_feature', 'establishment']",2.0,3.0,ChIJAXzGgI3CB3wRzH_d-dnH3k0,https://www.google.com/maps/place/?q=place_id:ChIJAXzGgI3CB3wRzH_d-dnH3k0,21.7922222,-160.205
Pōleho,Niihau,Beach,"Pōleho, Hawaii 96769, United States","['natural_feature', 'establishment']",4.0,4.0,ChIJg-bl7mzIB3wRJR6qjgc2HmU,https://www.google.com/maps/place/?q=place_id:ChIJg-bl7mzIB3wRJR6qjgc2HmU,21.9541666,-160.0761111
Kalaoa Beach,Niihau,Beach,"Unnamed Road, Kaumakani","['tourist_attraction', 'point_of_interest', 'establishment']",7.0,4.4,ChIJA0sQ1jXHB3wR2ra3PGq2E9A,https://www.google.com/maps/place/?q=place_id:ChIJA0sQ1jXHB3wR2ra3PGq2E9A,21.8780773,-160.1262976
Po‘Ooneone Beach,Niihau,Harbor,"Po‘Ooneone Beach, Hawaii 96769, United States","['natural_feature', 'establishment']",16.0,4.6,ChIJHzDYKovDB3wRdkF8OFeaCwY,https://www.google.com/maps/place/?q=place_id:ChIJHzDYKovDB3wRdkF8OFeaCwY,21.8563889,-160.1694444
Pōleho,Niihau,Harbor,"Pōleho, Hawaii 96769, United States","['natural_feature', 'establishment']",4.0,4.0,ChIJg-bl7mzIB3wRJR6qjgc2HmU,https://www.google.com/maps/place/?q=place_id:ChIJg-bl7mzIB3wRJR6qjgc2HmU,21.9541666,-160.0761111
Wailua Bay,Kauai,Bay,Wailua,"['natural_feature', 'establishment']",0.0,0.0,ChIJf4lu17ThBnwRHvcNwCWCmMs,https://www.google.com/maps/place/?q=place_id:ChIJf4lu17ThBnwRHvcNwCWCmMs,22.0519444,-159.3361111
Lawa'i Bay,Kauai,Bay,"Lawa'i Bay, Hawaii, USA","['natural_feature', 'establishment']",1.0,4.0,ChIJtYvqsmoFB3wRC222PK8KnAI,https://www.google.com/maps/place/?q=place_id:ChIJtYvqsmoFB3wRC222PK8KnAI,21.8875953,-159.5026617
Hoai Bay,Kauai,Bay,Koloa,"['natural_feature', 'establishment']",0.0,0.0,ChIJjxIhbbUaB3wRkeIV0f1zyC8,https://www.google.com/maps/place/?q=place_id:ChIJjxIhbbUaB3wRkeIV0f1zyC8,21.8805611,-159.4737056
Nawiliwili Bay,Kauai,Bay,"Nawiliwili Bay, Hawaii 96766, USA","['natural_feature', 'establishment']",26.0,4.8,ChIJr6CWcsQeB3wRa1aU816JmXE,https://www.google.com/maps/place/?q=place_id:ChIJr6CWcsQeB3wRa1aU816JmXE,21.950451,-159.3548004
Wahiawa Bay,Kauai,Bay,"Wahiawa Bay, Hawaii 96705, USA","['natural_feature', 'establishment']",0.0,0.0,ChIJp9mlUQsGB3wRcR6Kjh8sLu8,https://www.google.com/maps/place/?q=place_id:ChIJp9mlUQsGB3wRcR6Kjh8sLu8,21.8980556,-159.5791667
Waimea Bay,Kauai,Bay,"Waimea Bay, Hawaii, USA","['natural_feature', 'establishment']",1.0,5.0,ChIJvTRe-t-pB3wRz7B4bkc9CRY,https://www.google.com/maps/place/?q=place_id:ChIJvTRe-t-pB3wRz7B4bkc9CRY,21.9482408,-159.678055
Moloaa Bay,Kauai,Bay,"Moloaa Bay, Hawaii 96754, USA","['natural_feature', 'establishment']",14.0,4.8,ChIJE62FyNLnBnwRFmbrXFBMdJ0,https://www.google.com/maps/place/?q=place_id:ChIJE62FyNLnBnwRFmbrXFBMdJ0,22.1980556,-159.3347221
